review,sentimiento
"El título largo que he usado para catalogar esta película, quizás ya resuma toda mi opinión al respecto.Estamos ante una bonita historia, con un interesante guión, y un hilo argumental que progresivamente según avanza se va alejando del género típico de terror para adentrarse según mi punto de vista en el suspense.El ambiente del film está logradísimo, llegando a meterte por sí solo en la trama, y de la actuación de Belén Rueda sólo cabe un calificativo: sobresaliente.Lo peor, que el niño es un poco insoportable, y que al esperar otra cosa por la forma en que se vendió la producción, acaba decepcionando un poco. Un 7.",positivo
"Ante todo, exponer mi asombro al ver que muchos tan sólo hayan sido capaces de ver la exposición que se hace del bando franquista, y que sean los mismos que aplauden en sus críticas las andanzas de Roberto Benigni en la vida es bella. ¿No se han dado cuenta que, basicamente, ambas películas narran lo mismo?: en un momento muy doloroso y difícil de la vida, hay quien se evade creando un mundo imaginario en nada parecido a la realidad.La niña lo hace bastante bien, aunque tampoco es para lanzar cohetes; Sergi Lopez está perfecto, pero se está encasillando peligrosamente en el papel de malo malísimo sin escrúpulos; la Verdú muy correcta, pese a ese acento extraño que va y viene, en un papel muy diferente a aquellos que la hicieron famosa, siempre con el culo al aire; Álex Angulo excelente, y Ariadna Gil en su línea, o sea una negada total. El maquillaje es simplemente magistral, los efectos especiales correctísimos, y el argumento no es que sea demasiado original: pero un buen guión que consigue mezclar con solidez la fantasía con lo real, sumado a una dirección muy efectiva que sabe dar el ritmo correcto como para no aburrír, le dan un plus de interés a una historia que, pese a recordar muchas veces a otras películas, posee algunos momentos de sensible ternura unidos a otros de una violencia desmedida. Las escenas finales, sin concesiones a la galería, tan potentes como efectivas.Para finalizar, comentar a algunos que no se cuestionen tanto lo de las uvas, lo del rey argentino o chorradas como esas, ya que se trata de la fantasía de una niña y no se puede pedír demasiada coherencia en esos asuntos. A los que tán solo han podido ver una crítica mordaz al régimen del Paco y sus secuaces, recordarles que murió hace muchos años (aunque algunos nos hagan creer que no), y que aunque los republicanos fuesen tan crueles como los nacionales, los de azul tuvieron 40 años más para seguir haciendo de las suyas. Y vaya si las hicieron.Recomendable como la peli de fantasía que es, muy entretenida y bien realizada, pero sólo si se es capaz de reconocer que tanto da el marco histórico en el que suceda. Si todo se desarrollase en la Alemania nazi, o en Bosnia-Herzegovina, a buen seguro que los que claman al cielo la estarían aplaudiendo.",positivo
"A esto es a lo que aspira el cine español, a cobrar subvenciones, y por cuatro perras copiar un guión que ha funcionado (breaking bad), poner a tres tontolabas a hacer chistecitos, y hala, a hacer caja. Por medio una trifulca romántica, uno que va de graciosete, y otro que es un espantajo. Arriesgando cero.¿Y qué decir de la vis cómica o las aptitudes interpretativas? Pues que brillan por su ausencia. El peor, con diferencia, Ernesto Alterio. ¡Ay, Ernestito, si papá no hubiese sido quien era!Pese a todo, la película es entretenida y te ríes con algunas de las payasadas de este trío, aunque perfectamente olvidable.",negativo
"Regresión es casi el ejercicio que los cinéfilos hemos tenido que hacer para rememorar el cine de Amenábar tras tantos años de silencio. A pesar de que tan larga espera y tan celebérrimo director (al menos dentro de nuestras fronteras) quizás hacía merecer al espectador una cinta más elaborada, en cierto sentido, lo cierto es que Regresión no defrauda. Magistralmente realizada, la trama se convierte en un thriller con pinceladas de cine de terror, más próxima a ""True Detective"" (serie - primera temporada) que a ""Líbranos del Mal"", con quien algunos, a mi modo de ver erróneamente, han comparado. Ethan Hawke bien, sin excesos, Emma Watson francamente bien. Banda sonora cuidada. Fotografía afinadamente oscura. Pocos personajes pero bien orquestados. Remarcable, pero no inolvidable.",positivo
"Me esperaba bastante más de Ágora, la nueva película de ese fenómeno al que muchos apodan ""Orsoncito"", aunque a él no le haga la menor gracia. Hablo de Alejandro Amenábar, posiblemente el cineasta con más talento en el actual cine español. Al menos es capaz de arriesgarse a realizar algo distinto a los dos estilos que más marcan el panorama nacional: Santiago Segura y Pedro Almodóvar.Ágora es una película de corte histórico, con mayor o menor rigor en algunos puntos, ambientada en la convulsa época vivida en Alejandría en el siglo IV. El relato toma como punto de partida la destrucción de la biblioteca de dicha ciudad, a manos de un grupo de exaltados cristianos, que claman venganza por un ataque de los llamados paganos. A partir de ahí, el guión trata de sumergirse en un gran número de frentes, demasiados para dos horas de metraje, de ahí que la sensación final no sea del todo satisfactoria.Para empezar tenemos el problema del fanatismo religioso, tan de moda en nuestros días, desgraciadamente, por el terrorismo islámico. Amenábar deja constancia de lo peligrosa que es la religión mal entendida, pero no termina de profundizar en cómo los líderes pueden aprovecharse de ello en beneficio propio ni en lo influenciable de las masas. Lo insinúa, pero se queda ahí. Llegados a este punto destacaré la magnífica interpretación de Ashraf Bahrom (La sombra del reino) en un rol muy parecido a lo que hoy en día se correspondería con un peligroso captor de adeptos, a quienes poder lavar el cerebro y convertir en extremistas.Después está la trama científica, protagonizada por una magnífica Rachel Weisz. Interpreta a una excepcional mujer que podría considerarse como el arquetipo ideal de filósofa, ya que era una auténtica ""amiga de la sabiduría"". Es aquí donde Amenábar encuentra una buena excusa para dar rienda suelta a su innato talento con la cámara, con unos impresionantes planos cenitales que se originan en el espacio exterior y terminan en el centro de la ciudad. La pena es que uno nunca termina de saber si está viendo una película de guerra santa o un documental sobre los avances científicos del momento.También tenemos una historia de amor no correspondido, interpretada de forma no demasiado convincente por Max Minghella (Syriana), además de un ligero tratamiento sobre los esclavos, una pequeña crítica sobre el poder y lo que conlleva, el choque entre culturas, algo acerca de la sociedad y costumbres de la época y unos cuantos asuntos menores más... Como he dicho al principio, demasiado.El guión falla a la hora de hilvanarlo todo. Por un lado el desarrollo de ciertos puntos es excesivamente facilón. Por otro la sucesión de acontecimientos es tan arrítmica, que da la sensación de ser arbitraria.(Sigo en spoiler por falta de espacio)",positivo
"Avalada por numerosas nominaciones tanto en los premios Goya como en los premios Feroz, y con crítica y público poniéndose de acuerdo en alabar la calidad de su propuesta, lo normal será que “La isla mínima” se proclame como gran vencedor a la mejor película del 2014. Y nadie se lo ha puesto fácil en un año en el que ha tenido que competir con el fenómeno de “Ocho apellidos vascos” y con la enorme promoción de “El niño”, películas que a pesar de sus méritos, no tienen la complejidad de la que goza la película de Alberto Rodríguez. Su propuesta tan eficaz se basa en presentar un thriller interesante con unos elementos que marcan la diferencia por su alta calidad.El argumento podría decirse que es sencillo: el esclarecimiento de la desaparición de dos chicas en un pueblo andaluz perdido en las marismas del Guadalquivir. Este argumento se ve reforzado por esos elementos que elevan el nivel: su puesta en escena y sus personajes.El ambiente que rodea la acción es vital para su desarrollo. Es una atmósfera viciada, oscura y tensa en la que ambos policías llegados de la capital tienen la difícil misión de investigar. Es un elemento imprescindible y hábilmente utilizado por el director, que encuentra la localización perfecta para cada secuencia y para su importancia en el desarrollo de la película.Los personajes, perfectamente dibujados, tienen la suerte de ser interpretados por dos actores en estado de gracia. Gutiérrez y Arévalo firman actuaciones poderosas, contenidas cuando deben serlo y desbocadas en el momento justo (la medición de espacio-tiempo es esencial en la película). Magníficas actuaciones tanto en los protagonistas como en una galería de secundarios que apoya con sus limitadas apariciones al conjunto. Una lástima que el gran Antonio de la Torre aparezca tan poco aunque sea para dejar en el recuerdo unos portentosos minutos dando un máster de cómo aparecer y dejar huella.Una película turbia, con denuncia incluida pero sin ser reivindicativa, en la que los personajes se trasladan a los bajos fondos de un pueblo en el que nada es lo que parece y en el que presente y pasado van de la mano aunque sea forzosamente en un momento en el 	que la transición era un hecho, momentos que la película sabe poner de manifiesto sin embarrarse demasiado.",positivo
"Lo pienso  fríamente y me asombro de lo que este hombre me hizo disfrutar sus primeros años de director, con auténticas joyas como Tesis, Mar adentro o Los otros, hoy días y sintiéndolo mucho, no puedo decir lo mismo. Se ha vuelto un cine muy enmarañado y confuso, donde intenta aprovechar eso precisamente para tener agarrado al espectador hasta última hora. No sé si influye que los temas religiosos en este tipo de género no me molan nada y ya voy condicionado a verla, pero me ha resultado cansina, muy lenta y sobretodo muy confusa. Sin tiempo, ni pausas para explicar o situar al espectador. Es de esas películas que si vas con diez amigos, cada uno te cuenta una interpretación diferente y al final sales mosqueado. El primer tercio lo voy a pasar con aprobado, donde se presenta el caso y a la mayoría de los personajes que nos iremos encontrando por el camino, pero la segunda parte y el desenlace, me dieron literalmente unas ganas enormes de cerrar los ojos y aprovechar ese tiempo en algo más provechoso para mi mente y mi alma. Deseo que este hombre se vuelva a centrar, porque talento y medios tiene de sobra para sorprendernos, ojalá nos lo devuelvan algún día.",negativo
"Un cameo tras otro (algunos muy fuera de lugar), esto es en lo que se ha convertido la saga de Torrente. Esta película tiene un guión nefasto desde el principio hasta el final. Ha perdido la gracia, las escenas son inconexas y hay actuaciones deplorables (entre ellas la del propio Santiago Segura).Un par de escenas con gracia intentan salvar una floja producción, pero no hay manera.",negativo
"Torrente 2 empieza a verse como un elemento del pasado más que una comedia que merezca la pena. Empieza a atravesar esa frontera entre la comedia que es y la nostalgia que puede llegar a desatar en un determinado público de una determinada edad. Ver Torrente 2 es casi como cuando ves imágenes de programas que se dedican a repasar los grandes éxitos de la televisión de todos los tiempos. Un desfile de caras que hace que en cada plano se vean actores reconocidos por cualquiera que haya vivido en España los últimos veinte años.Más allá de eso, Torrente es una película que va de un extremoa a otro demasiadas veces. A veces el humor es gracioso, tanto como soez, y es como debe ser. Ese humor sigue haciendo gracia y no da vergüenza ajena. Sin embargo, a veces parece que la película pierde toda la chispa de una y nos encontramos con un humor insulso que pretende sacar la carcajada de una moda pasajera. Bromas puntuales que parecen sketches que a día de hoy han perdido todo sentido llenan la película en demasía, y la convierten en más mediocre de lo que podría haber sido.Ver a José Luis Moreno hacer de malo es una de las mayores sorpresas que depara la película, y el resultado es inmejorable. Su sentido de la maldad propio de un magnate de la coca americano unido al propio escenario paradisíaco de la película junto a la pareja protagonista policíaca hacen de Torrente 2 un capítulo largo y castizo de Miami Vice.",negativo
"Esta es una de esas películas que no te las tienes que tomar en serio, si empiezas a buscarles defectos a los ""cantantes"", no la disfrutas. Ninguno canta bien (ni siquiera lo intenta), las coreografías te ponen de los nervios, el guión no es de los que van a pasar a la Historia, los actores hacen lo que pueden... pero es mejor pasar de todo eso y reirte a gusto. Para una vez que alguien en el cine español le echa huevos y hace un musical...",positivo
"No puedo decir muchas cosas a favor de la quinta película de Alejandro Aménabar, salvo que no tenía intención de verla pagando y no lo hice, me la pusieron en un ave Madrid - Sevilla. En esta ocasión el refranero español se equivocó porque si hay quinto malo. No me gustó el desarrollo del guión, es lenta y aburridísima e independientemente de errores históricos, he de reconocer que ha sido después de ver la película cuando he buscado información sobre la tal Hipatia de la que no sabía demasiado. Es muy previsible desde el inicio de los conflictos entre paganos y cristianos, sabes que la protagonista no va a acabar bien. No me gustaron los actores, salvo Rachel Weisz y no siempre, no me gustó la fotografía (apagada, tenue). Y tampoco me ha gustado el mensaje de confrontación entre la religión cristiana, presentada como un paso atrás en la historia de la humanidad (habría que ver si se atrevería este chico a hacer una crítica tan feroz de los dogmas musulmanes) y el laicismo que abraza la ciencia como verdad inmutable; Tampoco me convence el hecho de que se presente a los cristianos como los que frente a judíos y paganos son los que pretenden someter a la mujer a un nuevo orden patriarcal, como si en otras confesiones religiosas no preponderasen los hombres sobre las mujeres.",negativo
"El punto de partida es muy bueno: la aparición de un humano en un mundo alienígena.La animación es lucida, así como el guión, con homenajes a películas míticas (E.T. Wall.E, etc.); personajes interesantes (alguno no explotado del todo) y un par de líneas de guión realmente brillantes. Sin embargo no llega a emocionar en ningún momento, como lo hacen los filmes de animación que tanto nos gustan.",positivo
"Dejando aparte algún que otro apartado técnico que descubre las, aún, enormes diferencias de producción con las grandes compañias americanas, la película es entretenida y la historia y personajes enganchan. Es un buen intento de competir con los grandes, demostrándo que aquí también se pueden contar buenas historias y salir del sota, caballo y rey de comedia chabacana, drama intimista  e historias urbanas en que transcurre casi todo el cine español actual.",positivo
"Me ha entretenido un rato y me he asustado unas cuantas veces, aunque preveía lo que iba a pasar, no lo he podido evitar. El director sabe lo que se hace. Manuela muy guapa y creíble. Eso sí, hay que verla en cine, en una tele pequeña no dice nada de nada.",positivo
Hacía mucho que no veía una película española y que no me arrepintiera...No deja indiferente y como mujer me he sentido muy impactada por la ignorancia de aquellos hombres que no admiten que una mujer sea igual o mejor que ellos. A pesar de salir del cine enfadada con el género masculino...felicito el buen trabajo del director. Un 10.,positivo
"Aunque ayer por la noche estaba diluviando sobre la ciudad de Valencia, era hora de dirigirse al cine con los amigos para poder echar un vistazo a la cartelera. Tras referéndum general, compramos las entradas para el Orfanato mientras nos secábamos las prendas y sacudíamos nuestros paraguas... Definitivamente, un clima ideal para meterse a ver una de miedo.Yo no había visto siquiera el trailer, pero la gente hablaba maravillas de ella, y claro, uno tiene ya unos estándares prefijados para una película española (Jóvenes o Adultos copulando, lo que aquí se llama ""comedia""), no obstante, tras acabar la sesión, concluimos en que es de las mejores películas españolas que se han hecho hasta el momento, y que por supuesto debería optar a los Oscar. Aunque la ambientación, los personajes, niños y demás, nos hacían recordar la película de ""Los Otros"", tengo que decir que esta película no tiene nada que envidiar al film de Amenábar.La historia de entrada ya resulta intrigante y misteriosa, tenemos a un matrimonio con un hijo que quiere montar una residencia para niños especiales en un antiguo orfanato donde se había criado la protagonista, y luego, claro, tiene que comenzar a pasar cosas raras relacionadas con el pequeño, aunque esto ya lo veréis por vosotros mismos. El guión me encantó, está muy bien estructurado y es muy realista, y la imagen, aunque a veces impacta un poco, también es muy buena.Mis felicitaciones al señor del Toro, ha dejado el listón muy alto para la próxima vez, y también para Belén Rueda, que ha hecho un papel impresionante y muy creíble (¡Por fin!). La recomiendo, de verdad, es un dinero bien empleado.",positivo
"no puedo estar mas de acuerdo con torrente en una cosa ""España va mal"" pero que muy mal con la de buenas películas que hay españolas y que la que mas triunfe sea torrente... que no tengo nada en  contra de la película que yo me e reído mucho en esta entrega hay mas gags que en las anteriores y eso hace que no nos demos cuenta de lo mala que es la historia  pero bueno que mas da la historia si nos lo pasamos mejor riendo de las tonterías que le sale de la boca a torrente y de todos los frikis que salen en la película.. santiago si lees esto haber si me dices de donde sacas esas chicas tan espectaculares pásame el facebook de algunas jaja",negativo
"En esta vida hay que ser sinceros, y yo lo voy a ser. En verdad no soy ningún crítico de cine ni tampoco un crack en el conocimiento del séptimo arte. Pero una cosa si que es verdad, y es que he visto mucho cine. En cuanto al género de terror, he visto todas las películas más famosas de terror por su calidad, de las más comerciales a las más valoradas. He visto todas las que se han hecho desde que nací, y también las antiguas y más antiguas. Hasta ahora he considerado que había películas de terror buenas, pero aún así no llegaban a terminar de convencerme, el miedo no me llegaba al cuerpo. Hasta que llego REC. Dado todo lo que he visto, esta para mi opinión es LA MEJOR PELICULA DE TERROR QUE SE HA HECHO NUNCA. Además de la tensión el terror y la calidad de la historia, hay que darle un diez en cuanto a autenticidad. Es una película creíble, una historia muy sugerente al hacerla tan y tan real. En definitiva los guionistas y directores la han clavado, enhorabuena. Lo mejor: TODO, Lo peor: no ir a verla nunca.",positivo
"Dos cosas hay que agradecerle a Alberto Rodríguez: Que no haya caído en el panfletismo político aprovechando que pasaba por 1980 y el final de la dictadura y su hedor estaba cerca y que no nos hay querido vender la mandanga de que todos los malos pagan sus fechorías. Lo primero pasa por la película casi en plan anecdótico y el pasado franquista del poli bajito no va más allá de un pasado turbio, sea político o no. Y lo segundo……acordémonos del Duque de Feria, que por una vez sucedió lo contrario. En la realidad fue castigado. A ver si cunde el ejemplo. No digo más.Incluso el tráfico de droga ha sido ninguneado. Sólo ha servido para crear ambiente, para crear verosimilitud.Alberto Rodríguez quería contar un thriller y es lo que ha contado. Con un excelente ritmo narrativo, unos actores grandiosos, no sé con cuál de los dos polis quedarme aunque he de decir que Raúl Arévalo me ha impresionado y no ha deslucido nada frente a Javier Gutiérrez, y era muy difícil eso.Los primeros planos a contra luz de los personajes me han parecido resueltos con maestría y las tomas cenitales muy sugerentes. A más de sorprendentes. Esto tan bonito y con esos bichitos que parecen hormigas…….pues no, ni es tan bonito ni son hormigas, es terrible y son seres humanos.A partir de ahora dejaré de decir eso de “Pero como no se explota en el cine el inmenso acerbo paisajista y monumental que tenemos en España”. Se está haciendo y muy bien. Ahí está El Guadalquivir, a la altura del Mississippi. Por fin volvemos la mirada hacia nosotros mismos, sin flagelarnos y sin menospreciarnos, con compasión y en su justa medida.El guión muy cuidado y contenido. Podía haber habido más persecuciones y más disparos. Pero yo soy de los que piensan que aunque con lo justo se llama menos al espectáculo, sin embargo se construye mejor la credibilidad y yo creo que es eso es más deseable.Un pequeño “pero” para el casting, que puede que ni incluso lo sea porque ignoro el tempo de rodaje de “El niño” con respecto a la Isla mínima, pero la coincidencia en las dos películas del actor protagonista de la primera y el estreno antes de “El niño” no ha ayudado mucho a “La isla mínima” . A mi lado alguien se puso a murmurar al verlo aparecer. Esos detalles tienen que cuidarse. Hay muchos actores que hubieran dado bien en ese papel.Una estupenda y entretenida película de principio a fin. Una pena que ya la haya visto. Porque me gustaría volver a verla por primera vez y eso no lo suelo decir de muchas películas. Al paso que vamos que los cines españoles se llenen para ver películas españolas dejará de ser  una sorpresa para pasar a ser habitual. Se ha tardado casi cuarenta años pero se ha conseguido. Cosa de la libertad y no de las subvenciones como pensaban algunos. De verdad. Pero una pena que vayamos de cuarenta en cuarenta años.",positivo
"No he leído la novela de Pérez-Reverte pero, habiendo leído algunas otras cosas suyas, me cuesta creer que la película la reproduzca fielmente. Está bien el ambiente ""grisáceo"" que lo rodea todo y la recreación de la época es buena pero la lentitud general del guión lo estropea. Viggo hace otro de sus papeles ""sin sangre"" (aunque en este caso sobra bastante durante toda la película) y los ""toques rosas"" no lo mejoran. Había oído buenos comentarios de esta película pero la verdad es que me ha decepcionado bastante. LUIS",negativo
"La película es genial,Nunca había visto una sala tan llena (con peligro de no haber encontrado asiento) Y ademas una película nacional. Qué orgullo para el país en estos malos momentos.Las bromas, un éxito tras otro. Una continuación de tópicos (de vascos y andaluces) típicos de nuestro paísUn gran Dani Rovira como siempre y un enorme, enorme Karra Elejalde haciendo de padre vasco de pura cepa. Clara Lago se queda atrás en comparación con Dani y Karra la chica no hace muy bien su papel y esta en la película siempre con cara sonriente, y los vascos son muy serios.Quiero hacer un llamamiento a todas las personas que ven la televisión, es especial tele cinco, con esta película pasó, con frases como ""Ha superado todos los récords"" "" La mas taquillera de la historia"" y hasta hace unos días pensaba que era así. Cuando me metí en esta pagina me di cuenta de que no, la película a parte de criticas muy buenas también  tiene muchas criticas malas, la película tiene un 6´2 de media para mi esta bastante bien pero no tanto como dice tele cinco. Las cadenas de  televisión  nos manipulan y nos engañan. En definitiva la película está muy bien, pienso que la segunda va a estar muy bien también, o  alomejor no, alomejor ya cansa tanto tópico... Quien sabe. Ya lo podemos comprobar yendo a los cines. Feliz día a todos.",positivo
